δέ;but
ἐλαύνω;drive, set in motion
οὐρανός;heaven
ἀμφιβαίνω;go about
ἄλοχος;partner of one's bed, wife,
πένθος;grief, sorrow
ἀ̂σσον;nearer,
τοὔνεκα;for that reason, therefore,
ἠέ;ah!
ὄλλυμι;destroy, make an end of,
πίπτω;Exc. ex libris Herodiani
γηθέω;rejoice
ἀργύρεος;of silver,
συμφράζομαι;join in considering, take counsel with
ἐρέτης;rowers,
μητίετα;counsellor
ἄν;
ἁνδάνω;please, delight, gratify,
ἀτρύγετος;unharvested, barren,
ἔρις;strife, quarrel, contention
ἀναδύνω;come to the top of the water,
δαίνυμι;give a banquet
ἀργυρόπεζα;silver-footed
ἀστεροπητής;lightener,
οὐρανόθεν;from heaven, down from heaven
αἰ̂ψα;quick, forthwith, on a sudden
πάλιν;back, backwards
εὑρίσκω;find
ἠ̂μαρ;day
θαρσέω;to be of good courage
ὅρκος;the object by which one swears,
βωμός;raised platform, stand
μεγάθυμος;great-hearted
μητρίς;one's mother country
γουνός;high ground
ὠκύμορος;quickly dying, dying early,
δατέομαι;divide among themselves,
αἰχμητής;spearman, warrior
ὠ̂;O! oh!
μέλας;black, dark
ὅστε;who, which,
ὠ̂;[unavailable]
ὅτε;when, at the time when
ὅτε;when, at the time when
μέλαινα;[unavailable]
ἄγε;come on!
ὅστις;that
ἰδέω;[unavailable]
αἴρω;to take up, raise, lift up
ἱερά;serpent
ἱερή;[unavailable]
ἱερός;filled with
μάκαρ;blessed, happy
ἄγνυμι;break, shiver
κακόω;maltreat, distress
ἡ̂;where,
κλισιάζω;visit shrines
μηνίω;cherish wrath, be wroth against
ἐρέω;ask, inquire,
ἐρέω;will say
ἐρέω;[unavailable]
ἐπείσειμι;ibo
δύο;Acut.(Sp.
χάζομαι;give way, fall back, retire
Ζεύς;dyaús
δι̂ος;heavenly,
ἱστίον;web, cloth, sheet
νέω;swim,
σφός;their, their own, belonging to them
εἴδομαι;are visible, appear
φι̂λος;[unavailable]
σφάζω;slay, slaughter
κύων;dog, bitch
συμμαχέω;to be an ally, to be in alliance
ναός;2 Ma.)
ναός;[unavailable]
δέπας;beaker, goblet,
ἑλίκωψ;with rolling eyes, quick-glancing
Φεραί;Pherae
ἄνθρωπος;man,
πειράω;attempt, endeavour, try
κυ̂δος;glory, renown
δαίτη;feast, banquet,
πα̂σις;acquisition, possession
Ποτνιάς;of Potniae, Potnian,
ἀνθρωπώ;[unavailable]
ἑκατομβεύς;[unavailable]
κυ̂μα;anything swollen
πρόφρων;with forward mind
ἀγείρω;gather together
ἄρχω;to be first,
θαλασσεύς;fisherman
αὐδάω;utter sounds, speak,
ἥκω;to have come, be present
θεοπροπέω;prophesy
δαίτης;priest who divided the victims,
δείκνυμι;bring to light, show forth,
ἀντίβιος;opposing force to force
συνίημι;bring
ἔισος;alike, equal
Αἰ̂σα;who dispenses to every one his lot
βηλός;threshold
κάρτιστος;strongest,
        mightiest;
μεθίημι;set loose, let go
κυμάς;pregnant woman
προφράζω;tell
ὕβρις;wanton violence,
κράτιστος;strongest, mightiest
λα̂ας;stone
βη̂;baa
πότνια;mistress, queen
πάσχω;have
ἀμύμων;blameless, noble, excellent,
ἀφύσσω;draw
ἐνθάδε;thither, hither,
ἕλκω;sulcus
νεικέω;quarrel, wrangle with
πείρω;pierce, run through
ῥέω;flow, run, stream, gush
μαλός;white
μάλη;arm-pit
μαλός;white-tailed
μη̂λον;apple
μα̂λον;apple
μάλα;very, exceedingly
κίω;go
ποθέω;long for, yearn after
ἀπειλέω;keep away,
ἀπειλέω;hold out
ἤδη;already, by this time
αὐ̂θι;on the spot, here, there,
ἤδη;[unavailable]
ὀρεύς;mule,
Κήρ;the goddess of death
κήρ;the goddess of death
πολεμέω;to be at war
κη̂ρ;heart
τιμή;worship, esteem, honour
Δι̂ος;[unavailable]
πολεμόω;make hostile, make an enemy of,
ἅλλομαι;sal-
ἐφέζομαι;sit upon
ἐπιέννυμι;put on besides
ἄρον;cuckoo-pint, Arum italicum,
ἀρή;bane, ruin,
ἀρά;prayer,
ἀρά;prayer
ἀ̂ρα;particle introducing a question
ἀ̂ρα;anxiety
ἀράζω;snarl, growl,
πω;up to this time, yet
κρείων;ruler, lord, master
μακρός;long
πω;up to this time, yet
κρει̂ον;meat-tray, dresser
αἴ;ha!
πω̂;where?
ἁλή;salt-works
λείπω;leave, quit
αἴ;[unavailable]
πω̂;drink!
Κρείων;Creon.
ἁλής;thronged, crowded, in a mass
κρέας;flesh, meat
ἀκέω;[unavailable]
ἀκέω;to be silent
δεινός;fearful, terrible;
ἠώς;dawn
ῥάζω;snarl
ῥα̂;easily
ῥα̂;rhubarb, Rheum officinale
ῥαίνω;sprinkle, besprinkle
δύω;cause to sink, sink, plunge in
αἰνός;dread, dire, grim
αἰνός;dread, horrible
θοός;quick, nimble
θοός;pointed, sharp
ἄνα;[unavailable]
ἄνη;fulfilment,
ἄνοος;without understanding, silly,
ἄνα;king,
νέω;spin,
νέω;heap, pile up,
νέω;next year,
πότης;drinker, tippler, toper,
πότις;[unavailable]
πότης;a drinker, tippler, toper
νέος;young, youthful
ἐρω̂;verbum,
ὄπισθεν;behind, at the back,
καρδία;heart
πιθέω;obey
ἀνορούω;start up, leap up,
ἐρεθίζω;rouse to anger, rouse to fight,
ἐύς;good, brave, noble
τηλόθι;afar, at a distance
εὔζωνος;well-girdled
νύξ;night
πω̂ς;how?
τόφρα;up to
χαλεπός;difficult
μυθέω;[unavailable]
θεσπέσιος;divinely sounding, divinely sweet
ἀπολύω;loose from,
ἀντάξιος;worth just as much as,
ἐριβω̂λαξ;with large clods,
κλέπτω;clěpere
ἐπισεύω;put in motion
οἰνοβαρής;heavy with wine,
μέροψ;dividing the voice
θεράπων;An Ox.
ἀπονοστέω;return, come home,
ἐδητύς;meat, food
ἐχεπευκής;pungo) sharp, piercing
ὀνείδειος;reproachful,
παρει̂πον;talk over, win over
φόρμιγξ;lyre,
οἰνοχοέω;to pour out wine for drinking
προβέβουλα;prefer
ἔνδοθι;within, at home
λωβάομαι;outrage, maltreat
Πάρος;Paros,
ὀβελός;spit,
λαμπετάω;shine
δασμός;division of spoil,
ῥέζω;dye
θωρήσσω;arm with a
οἱ̂ος;such as, of what sort,
δειλός;cowardly,
ἀπήμων;unharmed, unhurt,
ὑποδείδω;shrink in fear under, cower before,
ἱστοδόκη;mast-holder
ἄνεμος;wind,
θάνατος;death
ἐπιεικής;fitting, meet, suitable
ἀλέξω;raák[snull ]ati
καταπίπτω;fall, drop
τεταγών;having seized
παλίλλογος;collected again
πολυάιξ;much-rushing, impetuous, furious
δηθύνω;to tarry, be long, delay
χαλκοχίτων;bronze-clad,
προιάπτω;to send forward, to send untimely
πάμπαν;wholly, altogether
στέλλω;make ready
σκαιός;left, on the left hand
δολομήτης;crafty of counsel, wily
πραπίδες;midriff, diaphragm,
ἀνάποινος;without ransom,
φιλοκτέανος;loving possessions, greedy of gain, covetous,
ἕως;until, till
ὑπεροπλία;insolence, presumptuousness,
ὄμμα;eye,
τοι̂ος;such, such-like,
ἑλίσσω;Acut.(Sp.
δακρύω;weep, shed tears,
ὄρνυμι;ṛṇóti
μίνυνθα;a short time
πολύστονος;much-sighing, mournful,
σκίδνημι;disperse
δεξιτερός;right-hand of two,
βαθύς;deep
ἐπίηρα;acceptable
δηλέομαι;to hurt, do a mischief to
τεός;your
στυγέω;hate, abhor
ἀρείων;better, stouter, braver,
ἠγάθεος;most holy
πόποι;oh strange! oh shame!
μινυνθάδιος;short-lived
κελαινεφής;black with clouds
ὠκύπορος;quick-going,
λιμήν;harbour
ὀιστός;an arrow
ἄαπτος;not to be touched, resistless, invincible,
ἀνεκτός;bearable, sufferable, tolcrable,
λαμπρός;bright, radiant
δέμας;bodily frame,
αὔτως;in this very manner, even so,
ἵππος;horse
πτολίεθρον;citadel
ὄθομαι;take heed,
ἀπιθέω;disobeyed
ὁμιλέω;to be in company with, consort with,
καπνός;smoke
ἴφθιμος;stout, strong
ἄτη;bewilderment, infatuation,
εἴλω;shut in
φαρέτρα;quiver
πω̂ς;how? in what way
χαρίεις;graceful, beautiful
ῥίπτω;throw, cast, hurl
ἀποτίνω;repay,
σύνειμι;ibo) go
κορωνίς;crook-beaked
ἐρητύω;restrain, check,
ἐπιείκελος;like
ἐξαυδάω;speak out,
ὀιζυρός;woful, pitiable, miserable
πρότονοι;ropes from the masthead to the forepart of a ship, forestays
ἐκτέμνω;cut out,
ἐμφύω;implant
διατμήγω;cut in twain,
γέλως;laughter
παράφημι;speak gently to, advise
ἄρνυμαι;win, gain,
τίπτε;why pray?
ἐξαυ̂τις;once more, anew,
δέρω;skin, flay,
καλύπτω;oc-culo, celo.
ὀπτάω;roast, broil,
αἰγλήεις;dazzling, radiant
νέκταρ;nectar,
λεύσσω;look
σκιόεις;shady, shadowy
σφωίτερος;of you two
ἡδυεπής;sweet-speaking
δόρυ;stem, tree,
ἀντιάω;go for the purpose of meeting
ἀποπαύω;stop
ὑπολύω;loosen beneath
ἴπτομαι;press hard, oppress
μέσος;b
ἐτήτυμος;true
κλυτοτέχνης;famous for his art
ὕπνος;sleep, slumber,
μεταξύ;in the midst
γλαυκω̂πις;with gleaming eyes
γείνομαι;y
ῥίγιον;more horrible
ἠύτε;as, like as
ἐπαυρέω;partake of, share,
ὑφίημι;let down, lower,
πεμπώβολον;five-pronged fork
ὠμοθετέω;place the raw pieces
τέκμαρ;fixed mark
μετόπισθε;from behind, backwards, back
εὐ̂τε;when
λιγύς;clear, shrill
ἔρδω;do,
διαπέρθω;destroy utterly, sack, waste,
ὀλέκω;ruin, destroy, kill,
μιμνήσκω;remind, put in mind
πολυβενθής;very deep,
σπλάγχνον;inward parts
δεύτερος;second,
πίων;fat
νημερτής;unerring, infallible,
τῃ̂;here, there
βουλεύω;take counsel, deliberate
ἑκατηβελέτης;six,
μέλλω;to be destined
ἐπιγνάμπτω;curve
ἐξαλαπάζω;sack, storm,
ἄφενος;revenue, riches, wealth, abundance,
διέπω;manage, conduct,
τρίς;thrice, three times,
ἐρωέω;rush, rush forth,
ἀπηνής;ungentle, rough, hard,
κλισίηθεν;out of
ὠκυπορέω;move quickly,
αἰ̂θοψ;fiery-looking
αἰγών;[unavailable]
ἐννη̂μαρ;for nine days,
ἀνθερεών;chin,
ἀγνοέω;not to perceive
ἀναφαίνω;cause to give light, make to blaze up,
κότος;grudge, rancour, ill-will
ἀντιφέρω;set against,
χθών;earth,
βου̂ς;bullock, bull, ox
πώποτε;ever yet
ὀξύς;sharp, keen,
κραδίας;curdled with fig-juice
ὑπείκω;retire, withdraw, depart,
ἐυκνήμις;well-equipped with greaves, well-greaved
καταρρέζω;pat, stroke, caress
ἀδάκρυτος;without tears
κινέω;set in motion
ὅτι;that
εὐρύοπα;wide-eyed
πως;in any way, at all, by any means
φρόνις;prudence, wisdom,
καθάπτω;fasten
στυφελίζω;strike hard
κυνώπης;dog-eyed
φάσγανον;sword,
ἄριστον;morning meal, breakfast,
ἐπαπειλέω;hold out as a threat to
ἐγγυαλίζω;put into the palm of the hand, put into the hand
προερέσσω;row forwards,
κυδιάνειρα;bringing men glory
τανύω;stretch, strain
πολύφλοισβος;loud-roaring,
παλινάγρετος;to be taken back
ἡ̂χι;where
περικαλλής;very beautiful
παρέρχομαι;ibo
τρέπω;Studien zum griech. Perf.
μηδέ;and not
ὀτρηρός;quick, nimble, busy, ready
ὀνομάζω;speak of by name, call
ἀποβαίνω;step off from
ἀμφηρεφής;covered on both sides, close-covered,
ῥοδοδάκτυλος;rosy-fingered
ἀτελεύτητος;not brought to an end
οὐ̂ν;certainly, in fact
αὐτη̂μαρ;on the self-same day,
κρυπτάδιος;secret, clandestine
ἐνδέξιος;towards the right hand, from left to right
ἑτοιμάζω;get ready, prepare
μαντεύομαι;divine, prophesy
δημοβόρος;devourer of the people
λέπω;strip off the rind
ἀντιάζω;meet face to face
ἄνωγα;command, order,
ἑκηβολέω;to be an archer,
ἴκμενος;a fair
ἄτερ;without, apart from,
θαμέες;crowded, close-set
ἅπας;sṃ-,
ἀμφικύπελλος;double cup,
κολῳός;brawling, wrangling
χρυσόθρονος;with throne of gold,
μεταφράζω;paraphrase
Διοτρεφής;fostered, cherished by Zeus,
ἠ̂τορ;heart.
ὁρμαίνω;turn over
ἵζω;si-sd-ō
ἀγορητής;speaker
γενεά;race, family
ἀλγέω;feel bodily pain, suffer
προερύω;draw on
ῥιγέω;shudder
περιέχω;encompass, embrace, surround
ὑπέρ;upaári
εὔκομος;lovely-haired
περιφραδής;very thoughtful, very skilful,
ψάμαθος;sand of the sea-shore,
ἐχθοδοπέω;show enmity towards, engage in hostility with
ἀναίδεια;shamelessness,
πλου̂τος;wealth, riches,
ἔχθιστος;most hateful
φλοιός;bark
μάρναμαι;fight, do battle
τρίτατος;in the third place,
προίζομαι;to sit before, take the first seat
ἡμέτερος;our
ἕκατος;far-shooting
πόντος;sea,
μετάφημι;speak among
ἐφετμή;command, behest
μέταλλον;mine, quarry
ἐριδαίνω;wrangle, quarrel,
ἐπαγείρω;gather together, collect,
ποιμήν;herdsman,
ἅζομαι;stand in awe of, esp. gods and one's parents
εἴκοσι;twenty
ὀλοός;destructive, deadly,
ὁμίχλη;a mist, fog
κτείνω;kill, slay
χαλκοβατής;standing on bronze, with brazen base,
αὐερύω;draw back
νωμάω;deal out, distribute,
προβάλλω;throw
ἀπατηλός;producing illusion,
ἀργαλέος;painful, troublous,
ζάω;to live
δώσων;always going to give, always promising
κρήγυος;good, useful
Ἰ̂σος;[unavailable]
βουληφόρος;counselling, advising
θεοείκελος;godlike
ἀριστεύς;those who excel in valour,
ὑποβλήδην;by way of interruption,
ταρβέω;to be frightened, alarmed
κεύθω;custos
ἀγάννιφος;much snowed on, snow-capt,
κλάζω;make a sharp piercing sound
ἅπτω;fasten
πως;in any way, at all, by any means
χαίτη;loose, flowing hair,
ἐπέλπομαι;have hopes of, hope,
ἄλλοτε;at another time
καθεύδω;lie down to sleep, sleep
ἀποδίδωμι;give up
πολεμίζω;wage war, fight,
φήρ;the Centaurs,
ὄνειδος;reproach, rebuke, censure, blame,
ἐπιπλέω;sail upon
ἐπασσύτερος;one upon another, one after another,
τυτθός;little, small, young,
ἐπάρχω;rule over,
τέρπω;delight, gladden, cheer
νέκυς;corpse,
περικλυτός;famous, renowned
ἀμφιμέλας;black all round:
πρώτιστος;the very first
διάνδιχα;two ways,
μερμηρίζω;to be anxious
ὠθέω;thrust, push,
ἕρκος;fence, enclosure
σκηπτου̂χος;bearing a staff, baton
κρίνω;separate, put asunder, distinguish
διογενής;sprung from Zeus
ὀρέγνυμι;reach, extend
διαπράσσω;pass over,
ἐνόρνυμι;arouse, stir up in
πτερόεις;feathered, winged
ἀπέρεισις;leaning upon, pressure, resistance,
ἑλώριον;[unavailable]
γουνάζομαι;clasp
ὕστερος;latter, last,
ἀνάγω;lead up
ἰάχω;cry, shout
καταπέσσω;digest
κομίζω;take care of, provide for
κουρίδιος;wedded
μετατρέπομαι;to turn oneself round, turn round
ἴσχω;keep back, restrain
διίστημι;to set apart, to place separately, separate
ἰδυι̂α;knowing, skilful mind
πολλάκις;many times, often,
εὔδμητος;well-built
χερνίπτομαι;wash one's hands with holy water,
φθινύθω;waste,
πετάννυμι;fly
μυθέομαι;speak
θείνω;strike
ἀναιδής;shameless,
κερδαλεόφρων;greedy of gain
ἐναρίζω;strip a slain foe of his arms
Μη̂δος;Mede, Median
φορέω;repeated
ὀνειδίζω;cast in
μέλι;honey
ἐξάγω;lead out, lead away
προσφωνέω;call
ἑκατηβόλος;far-darting,
Αἰγαί;[unavailable]
ἔρος;love, desire,
μηρία;thigh-bones
ὀφρύς;the brow, eyebrow
μεταλλάω;search carefully, inquire diligently
φάος;light,
ὀφθαλμός;eye
ἀγέραστος;without a gift of honour, unrecompensed
ἐπέοικε;to be like, to suit
ὄσσομαι;oq[uglide]-yo-
τέκος;the young
ἔλαφος;deer, Cervus elaphus
κελαινός;black, dark
οὐλόμενος;accursed
χθιζός;of yesterday,
ἀπει̂πον;speak out, tell out, declare,
